cut_fraction,gate_type,candidate,categories,max_horizon_days,score,initial_cash,available_cash_end,locked_capital_end,open_positions_end,realized_profit,unrealized_profit_marked_at_cost,total_account_value,account_return,eventual_open_profit_audit_only,deployed,fees,entries,resolved_exits,hit_rate,gross_winnings,gross_losses,profit_factor,dollar_days_locked,annualized_return_on_locked_capital,max_drawdown,skipped,levels
0.7,market,positive_lcb,"crypto,economics,other,politics,sports,weather",7,82.68625375238425,5000.0,5076.27999999994,6.96,20,83.23999999999998,0.0,5083.23999999994,0.016647999999988006,-4.7299999999999995,849.1399999999973,55.319198493116915,1965,1945,0.2812339331619537,652.8400000000001,-569.5999999999999,1.1461376404494386,2057.4624761574087,14.767025086524852,0.008505705746100439,"{'horizon_gate': 1832, 'untrained_level': 2698, 'entry_liquidity_limited': 1854, 'minimum_order': 371, 'threshold_exit_insufficient_liquidity': 435, 'category_gate': 6}",
0.7,market,positive_lcb,"crypto,economics,other,politics,sports,weather",14,62.430997901724545,5000.0,5053.489999999918,9.709999999999997,23,63.20000000000001,0.0,5063.199999999918,0.012639999999983553,-5.18,940.7399999999959,61.53719817824205,2250,2227,0.27076784912438256,697.97,-634.77,1.0995636214691937,2835.0209827546264,8.136800447094453,0.010127259752617974,"{'horizon_gate': 1485, 'untrained_level': 2698, 'entry_liquidity_limited': 2154, 'minimum_order': 433, 'threshold_exit_insufficient_liquidity': 493, 'category_gate': 6}",
0.7,market,positive_lcb,"crypto,economics,other,politics,sports,weather",30,41.04846558193271,5000.0,5012.229999999903,30.880000000000003,83,43.109999999999836,0.0,5043.109999999903,0.00862199999998059,-20.460000000000004,1088.4999999999934,72.20919815540927,2611,2528,0.2634493670886076,773.3,-730.19,1.0590394280940576,5175.34418067129,3.040406483257109,0.012386647586888887,"{'horizon_gate': 1069, 'untrained_level': 2698, 'entry_liquidity_limited': 2483, 'threshold_exit_insufficient_liquidity': 589, 'minimum_order': 488, 'category_gate': 6}",
0.7,market,positive_lcb,"crypto,economics,other,politics,sports,weather",60,46.59308832410861,5000.0,5002.179999999888,47.63000000000002,128,49.80999999999981,0.0,5049.8099999998885,0.0099619999999776,-30.870000000000005,1198.7299999999907,80.40679776186954,2864,2736,0.260233918128655,849.5,-799.69,1.0622866360714776,8354.116758912043,2.1762504073940665,0.01640049152165884,"{'horizon_gate': 758, 'untrained_level': 2698, 'entry_liquidity_limited': 2731, 'threshold_exit_insufficient_liquidity': 657, 'minimum_order': 546, 'category_gate': 6}",
0.7,market,positive_lcb,"crypto,economics,other,politics,sports,weather",90,38.955064355416404,5000.0,4986.949999999882,55.850000000000016,152,42.79999999999974,0.0,5042.799999999882,0.008559999999976364,-35.07999999999999,1249.719999999989,84.4388974777313,2999,2847,0.25851773796979277,872.5499999999998,-829.75,1.051581801747514,10524.356445833348,1.484366296447964,0.015213035797133541,"{'horizon_gate': 576, 'untrained_level': 2698, 'entry_liquidity_limited': 2881, 'threshold_exit_insufficient_liquidity': 682, 'minimum_order': 593, 'category_gate': 6}",
0.7,market,positive_lcb,"crypto,economics,other,politics,sports,weather",180,5.486532109490588,5000.0,4919.589999999867,92.62000000000003,235,12.209999999999855,0.0,5012.209999999867,0.00244199999997341,-68.55000000000004,1367.8499999999858,93.09769778554826,3263,3028,0.2539630118890357,903.03,-890.8199999999999,1.0137064726880851,20924.67890509265,0.21298534712115882,0.01737099020959691,"{'horizon_gate': 239, 'untrained_level': 2698, 'entry_liquidity_limited': 3144, 'threshold_exit_insufficient_liquidity': 747, 'minimum_order': 666, 'category_gate': 6}",
0.7,market,positive_lcb,"crypto,economics,other,politics,sports,weather",none,-45.67168228778962,5000.0,4843.989999999855,119.50000000000006,324,-36.51000000000027,0.0,4963.489999999855,-0.0073020000000290075,-77.89000000000009,1464.2399999999823,100.22479765801596,3459,3135,0.24816586921850078,911.71,-948.2199999999999,0.9614962772352409,31866.82287789355,-0.418182573489139,0.020194552452287753,"{'entry_liquidity_limited': 3313, 'untrained_level': 2698, 'threshold_exit_insufficient_liquidity': 778, 'minimum_order': 709, 'category_gate': 6}",
0.7,market,only_sports,sports,1,-1.7850472656713035,5000.0,4998.220000000002,0,0,-1.7800000000000071,0.0,4998.220000000002,-0.0003559999999995789,0.0,74.94000000000003,4.501900350242851,145,145,0.30344827586206896,48.43999999999999,-50.220000000000006,0.9645559538032653,50.47265671296298,-12.872316266108873,0.0037959881262928396,"{'category_gate': 3271, 'untrained_level': 2698, 'horizon_gate': 739, 'entry_liquidity_limited': 117, 'threshold_exit_insufficient_liquidity': 20, 'minimum_order': 19}",
0.7,market,only_sports,sports,3,1.2864460109027762,5000.0,5001.2999999999965,0,0,1.2999999999999985,0.0,5001.2999999999965,0.0002599999999992608,0.0,108.97000000000001,6.626300069674847,235,235,0.28936170212765955,75.24,-73.94,1.0175818230998106,135.53989097222217,3.5008143845802895,0.0038206856841245963,"{'category_gate': 3271, 'untrained_level': 2698, 'horizon_gate': 613, 'entry_liquidity_limited': 223, 'threshold_exit_insufficient_liquidity': 37, 'minimum_order': 55}",
0.7,market,only_sports,sports,7,28.699045928206022,5000.0,5028.729999999992,0,0,28.730000000000004,0.0,5028.729999999992,0.0057459999999984746,0.0,151.20999999999995,9.654600225453073,345,345,0.2811594202898551,134.33,-105.6,1.272064393939394,309.54071793981484,33.877449370130755,0.004060438136623656,"{'category_gate': 3271, 'untrained_level': 2698, 'entry_liquidity_limited': 345, 'horizon_gate': 468, 'threshold_exit_insufficient_liquidity': 58, 'minimum_order': 90}",
